City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Zemio,5.0314,25.1361,79.81,65,100,1.34,CF,1633797877
Kuah,6.3265,99.8432,80.6,94,20,1.14,MY,1633797878
Yulara,-25.2406,130.9889,73.24,38,90,5.75,AU,1633797880
Palmer,42.1584,-72.3287,64.65,70,90,1.01,US,1633797881
Adrar,20.5022,-10.0711,99.72,7,84,8.57,MR,1633797882
Ugoofaaru,5.6667,73.0,82.87,79,100,14.23,MV,1633797883
Vila Franca do Campo,37.7167,-25.4333,73.81,68,19,9.73,PT,1633797886
Buckeye,33.3703,-112.5838,82.11,41,100,0.0,US,1633797638
Hasaki,35.7333,140.8333,66.6,85,40,6.2,JP,1633797888
Severo-Kuril'sk,50.6789,156.125,43.16,79,34,11.3,RU,1633797889
Mossamedes,-15.1961,12.1522,67.15,75,9,6.17,AO,1633797891
Hunterville,-39.9333,175.5667,48.56,97,93,0.74,NZ,1633797892
Trairi,-3.2778,-39.2689,86.43,61,70,15.03,BR,1633797678
Broken Hill,-31.95,141.4333,58.71,82,90,21.85,AU,1633797895
Vila Velha,-20.3297,-40.2925,69.75,83,75,10.36,BR,1633797896
Buala,-8.145,159.5921,79.29,82,100,3.31,SB,1633797897
Inta,66.0317,60.1659,28.33,75,44,10.58,RU,1633797898
Kavieng,-2.5744,150.7967,80.69,80,99,7.67,PG,1633797900
Grand Gaube,-20.0064,57.6608,73.8,71,12,10.0,MU,1633797901
Katsuura,35.1333,140.3,71.19,85,32,5.86,JP,1633797903
Bubaque,11.2833,-15.8333,83.1,74,81,10.38,GW,1633797904
Valparaíso,-33.0393,-71.6273,62.24,66,40,5.75,CL,1633797906
Port-Gentil,-0.7193,8.7815,78.76,89,90,10.36,GA,1633797908
Adeje,28.1227,-16.726,76.3,64,20,1.01,ES,1633797909
Tasiilaq,65.6145,-37.6368,35.76,73,66,7.49,GL,1633797910
Lake Shasta,40.6804,-122.3708,61.81,57,32,1.88,US,1633797819
Paris,48.8534,2.3488,64.58,61,0,4.0,FR,1633797161
Ayagoz,47.9714,80.4392,38.28,50,15,3.58,KZ,1633797914
Khandyga,62.6667,135.6,31.3,98,100,5.06,RU,1633797915
Taree,-31.9,152.4667,59.58,100,8,0.0,AU,1633797916
Cidreira,-30.1811,-50.2056,63.64,84,100,19.8,BR,1633797918
Hailar,49.2,119.7,35.26,96,100,24.05,CN,1633797920
Seymchan,62.8833,152.4333,17.04,80,13,3.62,RU,1633797921
Sørland,67.667,12.6934,50.02,96,100,17.52,NO,1633797923
Nové Hrady,48.7896,14.7784,49.48,79,0,4.65,CZ,1633797924
Bafatá,12.1667,-14.75,87.57,70,100,5.86,GW,1633797925
Laas,46.6166,10.7002,58.08,82,10,3.42,IT,1633797927
Kieta,-6.2167,155.6333,77.77,85,57,3.76,PG,1633797928
Sakakah,29.9697,40.2064,92.77,16,0,12.3,SA,1633797929
São Félix do Xingu,-6.6447,-51.995,101.8,23,86,4.03,BR,1633797931
Chardara,41.2547,67.9692,53.22,27,90,11.92,KZ,1633797932
Kumul,42.8,93.45,45.32,34,0,2.55,CN,1633797933
Kitimat,54.0524,-128.6534,47.91,28,100,3.51,CA,1633797935
Borskoye,53.0333,51.7167,43.84,59,6,5.44,RU,1633797936
Vila do Maio,15.1333,-23.2167,93.99,79,7,15.46,CV,1633797937
Dilla,6.41,38.31,63.95,94,93,4.52,ET,1633797939
Tilichiki,60.4667,166.1,24.17,78,12,4.32,RU,1633797940
Port Hedland,-20.3167,118.5667,69.85,78,0,4.61,AU,1633797941
Darhan,49.4867,105.9228,36.36,55,4,6.62,MN,1633797771
Kanye,-24.9667,25.3327,75.83,10,1,8.52,BW,1633797944
Madang,-5.2246,145.7966,77.67,91,88,6.15,PG,1633797946
Half Moon Bay,37.4636,-122.4286,63.9,69,20,0.0,US,1633797948
Lompoc,34.6391,-120.4579,69.13,64,1,0.0,US,1633797950
Turukhansk,65.8167,87.9833,25.34,83,100,19.15,RU,1633797951
Nome,64.5011,-165.4064,37.47,70,75,5.75,US,1633797952
Provincia di Imperia,43.9667,7.7833,60.8,56,44,6.93,IT,1633797954
Faanui,-16.4833,-151.75,77.7,72,11,6.62,PF,1633797956
Dingle,10.9995,122.6711,74.12,94,98,9.31,PH,1633797957
Vao,-22.6667,167.4833,69.53,59,100,14.88,NC,1633797958
Nuuk,64.1835,-51.7216,36.21,75,75,11.5,GL,1633797960
Port Lincoln,-34.7333,135.8667,52.41,60,67,8.9,AU,1633797945
Kutum,14.2,24.6667,86.41,17,69,8.12,SD,1633797962
Khrebtovaya,56.7032,104.2494,38.59,84,100,12.91,RU,1633797964
Areosa,41.7178,-8.8571,76.68,70,100,5.93,PT,1633797965
Northam,51.0333,-4.2167,63.01,85,100,4.32,GB,1633797966
Puerto Limón,10.0,-83.0333,82.29,83,75,3.44,CR,1633797969
Mujiayingzi,42.1167,118.7833,46.31,42,91,14.45,CN,1633797970
Katobu,-4.9408,122.5276,75.16,91,98,3.11,ID,1633797972
Muyezerskiy,63.9333,31.65,47.98,96,100,5.48,RU,1633797974
Annau,37.8876,58.516,53.1,35,0,6.91,TM,1633797976
Kholm,59.2667,32.85,46.74,82,98,6.44,RU,1633797978
Namwala,-15.7504,26.4384,88.21,20,4,4.54,ZM,1633797979
Qasigiannguit,68.8193,-51.1922,28.65,68,100,5.12,GL,1633797981
Alofi,-19.0595,-169.9187,69.69,94,95,1.14,NU,1633797983
Yaan,7.3833,8.5667,79.21,87,100,4.97,NG,1633797984
Horasan,40.0458,42.1728,54.43,45,3,4.94,TR,1633797986
Hobyo,5.3505,48.5268,78.71,84,33,13.73,SO,1633797987
Yangi Marg`ilon,40.4272,71.7189,54.82,66,100,6.91,UZ,1633797988
Hualmay,-11.0964,-77.6139,67.17,78,81,7.96,PE,1633797990
Kargasok,59.0556,80.8572,36.1,83,69,11.34,RU,1633797991
Swift Current,50.2834,-107.8014,54.41,54,1,10.36,CA,1633797993
Guarapari,-20.6667,-40.4975,69.69,78,100,2.51,BR,1633797996
Rio Grande,-32.035,-52.0986,68.11,70,84,17.47,BR,1633797998
Siguiri,11.6667,-9.5,90.32,53,99,2.93,GN,1633797999
Harrisburg,40.2737,-76.8844,68.49,78,90,5.99,US,1633797888
Stornoway,58.2093,-6.3865,56.93,88,4,10.36,GB,1633797834
Tabuk,17.4189,121.4443,73.8,90,47,3.58,PH,1633798003
Toulouse,43.6043,1.4437,61.61,67,90,6.91,FR,1633798005
Likhoslavl',57.1275,35.464,41.41,70,50,4.99,RU,1633798006
Serafimovich,49.5786,42.736,46.26,49,60,5.64,RU,1633798007
Tomatlán,19.9333,-105.25,87.93,70,100,3.42,MX,1633797969
Nur-Sultan,51.1801,71.446,37.35,75,0,8.95,KZ,1633798010
Quimper,48.0,-4.1,71.6,77,0,6.91,FR,1633797874
Peceneaga,45.0167,28.1333,50.47,49,98,9.08,RO,1633798013
Itaperuçu,-25.22,-49.3478,59.9,98,100,1.79,BR,1633798014
Broome,42.2506,-75.833,67.08,66,90,1.99,US,1633798016
Beringovskiy,63.05,179.3167,29.88,93,100,7.52,RU,1633798017
Dingzhou,38.5131,114.9956,59.11,50,100,11.39,CN,1633798018
Ust-Nera,64.5667,143.2,19.08,82,64,7.36,RU,1633798020
Mitsamiouli,-11.3847,43.2844,79.09,73,20,17.27,KM,1633798021
Vila,42.0304,-8.1588,69.75,72,100,3.96,PT,1633798023
Constitución,-35.3333,-72.4167,59.29,68,2,6.44,CL,1633797987
Veinticinco de Mayo,-35.4323,-60.1727,69.06,39,5,8.01,AR,1633798027
Uíge,-7.6087,15.0613,86.02,54,40,9.22,AO,1633798028
Gushikawa,26.3544,127.8686,81.63,83,1,11.5,JP,1633798030
Ayan,56.45,138.1667,41.27,57,36,5.17,RU,1633798031
Hay River,60.8156,-115.7999,40.98,75,90,6.91,CA,1633798032
Polyarny,69.1989,33.4478,36.07,98,100,10.29,RU,1633798033
Olinda,-8.0089,-34.8553,83.93,65,40,13.8,BR,1633798035
Imbituba,-28.24,-48.6703,64.29,91,100,13.04,BR,1633798036
Tonj,7.2737,28.6822,73.04,84,91,2.75,SS,1633798037
Lichinga,-13.3128,35.2406,73.49,49,0,3.44,MZ,1633798039
Mehamn,71.0357,27.8492,36.59,94,100,3.13,NO,1633798041
Pokaran,26.9167,71.9167,91.24,28,0,13.29,IN,1633798042
Paamiut,61.994,-49.6678,35.15,40,4,3.02,GL,1633798043
Hambantota,6.1241,81.1185,80.98,79,94,16.89,LK,1633798045
Bhubaneswar,20.2333,85.8333,85.08,94,75,2.3,IN,1633798046
Cherkasskoye,52.4333,47.2167,44.64,55,7,4.63,RU,1633798047
Carora,10.1755,-70.0827,89.1,48,98,1.97,VE,1633798049
Rāwah,34.4816,41.9093,79.39,13,0,5.3,IQ,1633798050
Hamilton,39.1834,-84.5333,80.04,67,1,1.01,US,1633798051
Luján,-34.5703,-59.105,71.02,47,5,1.99,AR,1633798052
Sechura,-5.5569,-80.8222,77.49,58,35,8.84,PE,1633798054
Sobolevo,54.4299,31.8996,41.67,69,7,2.44,RU,1633798055
Airai,-8.9266,125.4092,58.66,72,65,1.61,TL,1633798056
Manokwari,-0.8667,134.0833,78.28,82,42,4.47,ID,1633798058
Iranshahr,27.2025,60.6848,89.94,14,0,0.0,IR,1633798059
Ibotirama,-12.1853,-43.2206,105.98,13,69,1.72,BR,1633798060
Vangaindrano,-23.35,47.6,68.83,76,20,9.84,MG,1633798061
Taoudenni,22.6783,-3.9836,104.05,6,74,3.76,ML,1633798063
Xichang,27.8964,102.2634,63.41,91,100,3.38,CN,1633798064
Peskovka,59.0448,52.3606,42.13,97,100,4.85,RU,1633798065
Isangel,-19.55,169.2667,70.21,84,33,11.39,VU,1633798067
Brigantine,39.4101,-74.3646,71.87,79,90,17.27,US,1633798068
Botwood,49.1499,-55.3482,44.08,77,100,13.89,CA,1633798069
Clyde River,70.4692,-68.5914,34.97,73,26,11.34,CA,1633798071
Asău,46.4333,26.4,47.39,57,88,4.74,RO,1633798072
Gombe,10.2897,11.1673,86.45,42,66,3.33,NG,1633798073
Pokhara,28.2333,83.9833,68.0,88,48,4.97,NP,1633798074
Saldanha,-33.0117,17.9442,68.05,77,0,17.94,ZA,1633798076
Kotapārh,19.15,82.35,72.99,80,98,3.94,IN,1633798077
Manoel Urbano,-8.8389,-69.2597,95.63,38,88,3.4,BR,1633798078
Bharatpur,27.2167,77.4833,85.59,31,0,2.57,IN,1633798080
Bushehr,28.9684,50.8385,91.49,43,0,19.57,IR,1633798081
Cabedelo,-6.9811,-34.8339,88.47,68,75,15.08,BR,1633798082
Baykit,61.67,96.37,35.53,85,100,14.47,RU,1633798083
Nouadhibou,20.931,-17.0347,80.58,57,89,16.11,MR,1633798085
