City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Comodoro Rivadavia,-45.8667,-67.5,64.26,25,40,25.32,AR,1633291378
Manta,-0.95,-80.7333,77.61,68,12,16.31,EC,1633291379
Rikitea,-23.1203,-134.9692,73.54,64,78,17.34,PF,1633291382
Kota Kinabalu,5.9749,116.0724,76.98,88,20,12.66,MY,1633291383
Malindi,-3.2175,40.1191,75.81,82,55,10.65,KE,1633291274
Severo-Kuril'sk,50.6789,156.125,47.34,79,68,36.89,RU,1633291385
Cidreira,-30.1811,-50.2056,66.88,88,100,7.52,BR,1633291387
Kaitangata,-46.2817,169.8464,50.94,82,100,13.71,NZ,1633291340
Hilo,19.7297,-155.09,79.79,84,90,5.75,US,1633291389
Katherine,-14.4667,132.2667,80.92,74,52,6.91,AU,1633291367
Cururupu,-1.8283,-44.8683,82.42,68,100,5.97,BR,1633291394
Saint Paul Harbor,57.79,-152.4072,40.19,54,2,8.34,US,1633291395
Jamestown,42.097,-79.2353,68.02,97,90,8.01,US,1633291176
Punta Arenas,-53.15,-70.9167,44.11,70,8,31.56,CL,1633291348
Torbay,47.6666,-52.7314,59.29,86,99,1.99,CA,1633291242
Atuona,-9.8,-139.0333,77.59,75,14,17.6,PF,1633291401
Praia da Vitória,38.7333,-27.0667,72.75,92,65,6.08,PT,1633291402
Saint George,37.1041,-113.5841,90.07,20,1,1.01,US,1633291403
Butaritari,3.0707,172.7902,82.29,67,100,17.29,KI,1633291405
Dingle,10.9995,122.6711,75.25,96,100,6.35,PH,1633291406
Vila Franca do Campo,37.7167,-25.4333,74.19,85,99,3.87,PT,1633291407
Bluff,-46.6,168.3333,45.81,83,100,23.62,NZ,1633291234
Ilulissat,69.2167,-51.1,26.11,72,100,2.71,GL,1633291150
Khandyga,62.6667,135.6,25.56,95,7,3.38,RU,1633291411
Sabang,5.8933,95.3214,81.77,77,68,12.44,ID,1633291412
Āsosa,10.0667,34.5333,61.0,95,100,2.26,ET,1633291413
Port Alfred,-33.5906,26.891,56.34,74,42,6.31,ZA,1633291415
New Norfolk,-42.7826,147.0587,53.74,82,52,1.9,AU,1633291209
Olavarría,-36.8927,-60.3225,60.03,38,52,8.75,AR,1633291417
Port-Gentil,-0.7193,8.7815,77.88,85,100,13.22,GA,1633291418
Naze,28.3667,129.4833,77.22,63,0,19.48,JP,1633291420
Stokmarknes,68.5646,14.9108,55.38,62,75,12.66,NO,1633291421
Labytnangi,66.6572,66.4183,28.99,78,96,6.71,RU,1633291422
Okhotsk,59.3833,143.3,31.96,72,2,22.26,RU,1633291423
Kysyl-Syr,63.8986,122.7617,27.0,76,100,2.89,RU,1633291425
Agüimes,27.9054,-15.4461,71.65,73,20,23.02,ES,1633291426
Bezenchuk,52.982,49.4333,47.89,80,100,4.65,RU,1633291427
Egvekinot,66.3167,-179.1667,26.17,97,100,3.67,RU,1633291248
Yellowknife,62.456,-114.3525,53.42,49,3,8.99,CA,1633291219
Ballina,-28.8667,153.5667,59.77,55,16,5.57,AU,1633291431
Gamba,-2.65,10.0,76.3,82,100,7.36,GA,1633291433
Mīnāb,27.1467,57.0801,85.5,68,100,6.35,IR,1633291434
Carnarvon,-24.8667,113.6333,64.94,68,0,18.81,AU,1633291245
Richards Bay,-28.783,32.0377,59.52,84,100,5.12,ZA,1633291437
Nouadhibou,20.931,-17.0347,73.18,74,0,21.68,MR,1633291438
Kumul,42.8,93.45,47.28,33,0,4.63,CN,1633291439
Verkhnyaya Inta,65.9811,60.3094,30.83,87,81,6.67,RU,1633291363
Hamilton,39.1834,-84.5333,71.62,91,90,1.01,US,1633291292
Tegul'det,57.3064,88.1667,27.86,98,89,3.36,RU,1633291443
Dikson,73.5069,80.5464,34.9,98,100,23.89,RU,1633291257
Garhwa,24.1833,83.8167,75.43,89,41,2.71,IN,1633291446
Paamiut,61.994,-49.6678,39.47,72,0,7.38,GL,1633291282
Constitución,-35.3333,-72.4167,58.55,58,0,20.56,CL,1633291275
Ulaanbaatar,47.9077,106.8832,14.13,85,0,0.0,MN,1633291450
Chokurdakh,70.6333,147.9167,19.42,96,96,8.37,RU,1633291451
Bambous Virieux,-20.3428,57.7575,73.22,80,27,16.37,MU,1633291302
Bonavista,48.6499,-53.1147,57.11,89,84,12.48,CA,1633291267
Lüderitz,-26.6481,15.1594,59.72,51,89,23.78,NA,1633291435
Florianópolis,-27.6146,-48.5012,73.13,84,100,5.41,BR,1633291225
Saldanha,-33.0117,17.9442,56.1,71,0,25.64,ZA,1633291456
Verkhnevilyuysk,63.4453,120.3167,27.12,88,93,4.0,RU,1633291458
Chui,-33.6971,-53.4616,58.95,60,62,12.28,UY,1633291459
São José da Coroa Grande,-8.8978,-35.1478,78.03,80,12,10.8,BR,1633291460
Lompoc,34.6391,-120.4579,97.21,33,2,4.0,US,1633291201
Henties Bay,-22.116,14.2845,54.86,90,0,3.74,NA,1633291431
Puerto del Rosario,28.5004,-13.8627,73.15,78,20,18.41,ES,1633291434
Bossier City,32.516,-93.7321,88.29,50,0,1.99,US,1633291231
‘Ewa Beach,21.3156,-158.0072,82.69,75,90,6.91,US,1633291466
Castro,-24.7911,-50.0119,65.32,95,100,2.98,BR,1633291452
Malvern,34.3623,-92.813,85.51,48,1,6.82,US,1633291469
Kloulklubed,7.0419,134.2556,83.01,74,93,7.54,PW,1633291471
Ribeira Grande,38.5167,-28.7,72.0,88,40,9.22,PT,1633291299
Viedma,-40.8135,-62.9967,60.28,27,3,14.5,AR,1633291473
Moindou,-21.6924,165.677,71.55,83,1,6.73,NC,1633291474
Lorengau,-2.0226,147.2712,79.07,82,97,4.72,PG,1633291318
Zhezkazgan,47.8043,67.7144,44.13,78,98,8.61,KZ,1633291306
Yaring,6.8662,101.3689,78.93,84,98,4.34,TH,1633291479
El Paso,31.8001,-106.2005,83.55,26,20,8.05,US,1633291459
Mar del Plata,-38.0023,-57.5575,55.0,56,40,18.99,AR,1633291482
Saurimo,-9.6608,20.3916,69.67,79,46,3.36,AO,1633291484
Tasiilaq,65.6145,-37.6368,35.76,54,0,5.41,GL,1633291485
Caracollo,-14.9165,-70.6603,64.76,21,74,11.56,PE,1633291486
Iralaya,15.0,-83.2333,86.09,79,22,8.1,HN,1633291488
Ketchikan,55.3422,-131.6461,40.98,75,100,8.41,US,1633291489
Pandan,14.0453,124.1694,80.67,87,99,15.17,PH,1633291490
Synya,65.3718,58.0387,29.82,85,40,4.32,RU,1633291491
Tuatapere,-46.1333,167.6833,45.82,93,100,3.33,NZ,1633291493
Khasan,42.4308,130.6434,61.86,88,100,2.71,RU,1633291494
Kirakira,-10.4544,161.9205,79.72,84,71,2.73,SB,1633291495
Pisco,-13.7,-76.2167,66.25,68,0,18.41,PE,1633291490
Cockburn Town,21.4612,-71.1419,83.66,69,94,19.1,TC,1633291220
Cumpas,29.9833,-109.7833,89.67,21,0,3.33,MX,1633291499
Honiara,-9.4333,159.95,78.78,88,28,2.98,SB,1633291500
Hong Kong,22.2855,114.1577,85.32,79,86,3.0,HK,1633291430
Sørland,67.667,12.6934,51.87,80,100,20.92,NO,1633291505
Chitagá,7.1378,-72.6646,64.15,81,88,4.88,CO,1633291507
Nemuro,43.3236,145.575,61.63,84,91,30.2,JP,1633291509
Okato,-39.2,173.8833,60.42,97,99,9.08,NZ,1633291511
Makkah al Mukarramah,21.4267,39.8261,86.9,44,19,4.0,SA,1633291512
Burgeo,47.6167,-57.6152,55.83,75,43,11.1,CA,1633291514
Tucumcari,35.1717,-103.725,78.64,29,1,8.05,US,1633291515
Ardabil,38.2498,48.2933,47.75,100,90,9.22,IR,1633291516
Oudtshoorn,-33.5907,22.2014,49.77,80,31,3.71,ZA,1633291518
Clyde River,70.4692,-68.5914,37.22,82,86,2.75,CA,1633291292
Aleksandrov Gay,50.147,48.5704,53.37,61,100,7.02,RU,1633291520
Atikokan,48.7555,-91.6216,66.96,53,8,3.62,CA,1633291521
Bagdarin,54.4333,113.6,28.58,82,65,3.53,RU,1633291368
Ladário,-19.0047,-57.6017,104.29,27,40,11.5,BR,1633291524
Si Satchanalai,17.5169,99.7598,76.57,96,91,1.95,TH,1633291525
Emba,48.8264,58.1442,49.35,54,94,8.32,KZ,1633291527
Maceió,-9.6658,-35.7353,81.84,78,0,10.36,BR,1633291528
Rovaniemi,66.5,25.7167,49.41,76,0,12.66,FI,1633291298
Lata,40.1629,-8.3327,59.07,83,16,1.9,PT,1633291400
Tsimmerbude,54.675,20.1347,55.45,71,71,15.79,RU,1633291533
Turukhansk,65.8167,87.9833,29.77,97,99,4.14,RU,1633291535
Qaanaaq,77.484,-69.3632,31.21,97,100,7.11,GL,1633291264
Lucapa,-8.4192,20.7447,68.76,84,99,3.67,AO,1633291284
Esperance,-33.8667,121.9,49.14,71,69,9.57,AU,1633291538
Goryachegorsk,55.4053,88.9154,29.8,82,100,3.2,RU,1633291540
Fort Nelson,58.8053,-122.7002,50.7,31,87,9.15,CA,1633291541
Hondomachi-hondo,32.45,130.2,72.95,75,2,5.35,JP,1633291542
Husavik,66.0449,-17.3389,43.68,98,100,18.9,IS,1633291376
San Matías,-16.3667,-58.4,95.18,34,81,9.01,BO,1633291544
Boljevac,43.8303,21.9531,53.06,57,0,4.36,RS,1633291546
Igarka,67.4667,86.5833,25.86,94,100,5.84,RU,1633291547
Saskylakh,71.9167,114.0833,17.13,92,99,11.14,RU,1633291548
Luwingu,-10.2621,29.9271,66.88,71,64,2.68,ZM,1633291550
Coyhaique,-45.5752,-72.0662,43.48,88,97,9.84,CL,1633291282
Tiarei,-17.5333,-149.3333,82.42,76,15,10.47,PF,1633291553
Kabinda,-6.1333,24.4833,69.17,86,100,2.28,CD,1633291516
Fare,-16.7,-151.0167,78.4,72,10,11.48,PF,1633291475
Olden,61.8364,6.8064,59.92,87,100,7.87,NO,1633291558
Vao,-22.6667,167.4833,71.83,90,2,1.7,NC,1633291313
Iqaluit,63.7506,-68.5145,43.7,65,81,8.39,CA,1633291560
Ode,7.7899,5.7117,72.01,92,99,4.83,NG,1633291561
Bilma,18.6853,12.9164,87.6,17,50,7.9,NE,1633291374
Hithadhoo,-0.6,73.0833,83.07,76,86,17.43,MV,1633291295
Tadine,-21.55,167.8833,74.1,89,57,1.79,NC,1633291565
Fortuna,40.5982,-124.1573,82.42,84,20,9.22,US,1633291321
Tiksi,71.6872,128.8694,24.71,88,97,13.0,RU,1633291567
Alofi,-19.0595,-169.9187,75.09,78,90,16.11,NU,1633291569
Sioux Lookout,50.1001,-91.917,61.18,55,71,0.58,CA,1633291570
Bonnyville,54.2668,-110.735,58.8,25,45,14.03,CA,1633291572
Seoul,37.5683,126.9778,71.04,63,100,3.02,KR,1633291391
Natal,-5.795,-35.2094,83.05,61,20,11.5,BR,1633291442
Fort Walton Beach,30.4058,-86.6188,83.34,78,90,5.99,US,1633291404
Sola,-13.8833,167.55,79.65,77,36,7.74,VU,1633291315
Padang,-0.9492,100.3543,77.04,87,94,2.66,ID,1633291579
Kastamonu Province,41.5,33.6667,43.45,92,9,2.71,TR,1633291581
Belawan,3.7755,98.6832,76.21,89,94,4.63,ID,1633291582
Aklavik,68.2191,-135.0107,34.52,96,100,17.85,CA,1633291583
Plettenberg Bay,-34.0527,23.3716,51.39,81,23,7.36,ZA,1633291585
George Town,5.4112,100.3354,81.9,87,20,0.0,MY,1633291586
New Ulm,44.3125,-94.4605,75.6,40,1,9.22,US,1633291587
Coihueco,-36.6167,-71.8333,61.54,45,0,17.27,CL,1633291589
Pangody,65.85,74.4859,31.55,80,100,6.62,RU,1633291590
Fulton,33.7668,-84.4499,77.41,82,90,8.05,US,1633291591
Hofn,64.2539,-15.2082,47.17,80,100,20.38,IS,1633291593
Thompson,55.7435,-97.8558,65.25,38,100,6.91,CA,1633291595
Shingū,33.7333,135.9833,73.27,83,86,3.53,JP,1633291596
Lavrentiya,65.5833,-171.0,24.6,70,15,3.06,RU,1633291344
Keti Bandar,24.1447,67.4497,82.17,84,7,16.44,PK,1633291599
Wajima,37.4,136.9,70.29,69,0,7.94,JP,1633291413
Batagay,67.6333,134.6333,22.33,93,88,2.51,RU,1633291601
Vanimo,-2.6741,141.3028,75.92,86,98,3.24,PG,1633291603
Acapulco de Juárez,16.8634,-99.8901,85.98,69,21,6.6,MX,1633291310
Linhares,-19.3911,-40.0722,79.38,70,99,13.51,BR,1633291605
Mount Isa,-20.7333,139.5,73.17,27,12,10.36,AU,1633291606
Jandayan Norte,10.1667,124.1833,76.05,95,100,7.2,PH,1633291608
Rio Grande,-32.035,-52.0986,66.31,78,100,17.07,BR,1633291610
Tay Ninh,11.3,106.1,76.28,91,100,2.1,VN,1633291611
Mayumba,-3.432,10.6554,76.15,84,98,7.58,GA,1633291612
Khatanga,71.9667,102.5,17.13,95,99,10.78,RU,1633291614
Lira,2.235,32.9097,65.07,96,14,3.58,UG,1633291615
Pendleton,45.6721,-118.7886,75.99,33,1,3.0,US,1633291616
Sarangani,5.4033,125.4636,81.7,79,100,13.8,PH,1633291618
Najrān,17.4924,44.1277,76.73,33,89,2.91,SA,1633291619
Hengshui,37.7322,115.7011,63.45,79,100,15.88,CN,1633291620
Berbera,10.4396,45.0143,89.73,58,93,3.76,SO,1633291437
Griffith,41.5284,-87.4237,77.58,90,90,0.0,US,1633291459
Nhulunbuy,-12.2333,136.7667,77.61,88,90,6.91,AU,1633291624
Port Blair,11.6667,92.75,80.35,81,19,6.62,IN,1633291343
Summerville,33.0185,-80.1757,80.8,91,90,0.0,US,1633291550
Khovd,48.0056,91.6419,31.98,36,4,4.03,MN,1633291454
Yatou,37.15,122.3833,73.24,94,100,16.46,CN,1633291629
Nova Olinda do Norte,-3.8881,-59.0942,90.28,51,100,1.9,BR,1633291630
Jumla,29.2747,82.1838,55.8,89,75,2.3,NP,1633291506
Saint-Ambroise,48.5501,-71.3324,53.58,51,52,4.63,CA,1633291363
Syracuse,37.0881,15.2792,69.17,66,11,5.21,IT,1633291633
Port Elizabeth,-33.918,25.5701,55.09,73,4,7.99,ZA,1633291635
Luwuk,-0.9516,122.7875,76.37,83,95,6.08,ID,1633291636
Ouallam,14.3188,2.0866,94.46,23,3,4.92,NE,1633291637
Erice,38.037,12.5865,66.43,73,5,11.32,IT,1633291640
Marsh Harbour,26.5412,-77.0636,80.47,66,1,10.49,BS,1633291641
East London,-33.0153,27.9116,58.24,70,53,4.63,ZA,1633291539
Provideniya,64.3833,-173.3,30.31,74,75,4.47,RU,1633291643
Lorvão,40.2594,-8.3168,58.71,82,14,1.52,PT,1633291645
Kyshtovka,56.555,76.6271,30.36,91,100,4.92,RU,1633291646
Laguna,38.421,-121.4238,90.64,25,1,1.01,US,1633291647
Lagoa,39.05,-27.9833,70.74,92,54,12.66,PT,1633291649
Upernavik,72.7868,-56.1549,30.69,91,100,4.59,GL,1633291650
Shenjiamen,29.9576,122.298,77.18,89,3,16.4,CN,1633291651
Nanortalik,60.1432,-45.2371,39.9,77,0,5.46,GL,1633291653
Korla,41.7597,86.1469,48.72,36,21,6.02,CN,1633291654
Kostino,58.9097,53.2691,30.79,83,18,2.15,RU,1633291655
Santa Rosa,14.3122,121.1114,79.92,88,100,4.83,PH,1633291432
Kruisfontein,-34.0033,24.7314,53.89,78,58,4.9,ZA,1633291364
Mt. Pleasant,32.7941,-79.8626,79.99,83,75,5.01,US,1633291527
Alice Springs,-23.7,133.8833,53.15,47,0,0.0,AU,1633291408
Geraldton,-28.7667,114.6,46.81,93,40,8.05,AU,1633291662
Killybegs,54.6333,-8.45,47.44,80,80,13.94,IE,1633291499
Port-Cartier,50.0334,-66.8654,49.41,73,99,1.61,CA,1633291664
Havre-St-Pierre,50.2334,-63.5986,48.33,72,99,8.57,CA,1633291666
Gizo Government Station,-8.103,156.8419,81.97,78,12,6.87,SB,1633291668
Mackay,-21.15,149.2,69.04,95,16,8.84,AU,1633291380
San Quintín,30.4833,-115.95,80.1,39,100,8.97,MX,1633291670
Verāval,20.9,70.3667,80.53,83,15,6.35,IN,1633291672
Ternate,0.8,127.4,80.71,78,100,5.57,ID,1633291673
Río Gallegos,-51.6226,-69.2181,57.25,28,75,37.98,AR,1633291675
Ponta do Sol,32.6667,-17.1,76.01,78,100,3.29,PT,1633291677
Sinnamary,5.3833,-52.95,84.29,68,38,11.68,GF,1633291393
Broome,42.2506,-75.833,67.01,80,90,1.01,US,1633291679
French Harbor,16.35,-86.4333,86.0,80,40,1.99,HN,1633291680
Tshikapa,-6.4167,20.8,73.18,89,100,1.88,CD,1633291682
Karratha,-20.7377,116.8463,69.71,69,0,9.22,AU,1633291683
Atasū,48.6814,71.6433,41.45,85,100,11.48,KZ,1633291684
Vila Velha,-20.3297,-40.2925,78.75,78,0,18.41,BR,1633291687
Fairbanks,64.8378,-147.7164,35.6,95,90,5.75,US,1633291648
Margate,51.3813,1.3862,55.9,81,0,1.99,GB,1633291689
Vanderhoof,54.0166,-124.0198,50.34,30,1,13.42,CA,1633291690
Truro,50.2653,-5.0544,56.55,87,20,9.22,GB,1633291433
Ishigaki,24.3448,124.1572,83.08,69,0,18.19,JP,1633291694
Oranjemund,-28.55,16.4333,55.18,80,0,23.94,NA,1633291695
São Filipe,14.8961,-24.4956,80.38,76,99,6.82,CV,1633291446
Bondo,3.8146,23.6866,71.69,87,93,1.54,CD,1633291698
Monte Carmelo,-18.7247,-47.4986,90.18,28,65,12.82,BR,1633291699
Itacoatiara,-3.1431,-58.4442,88.95,52,88,3.42,BR,1633291520
Arkhangelsk,64.5401,40.5433,46.51,87,40,2.24,RU,1633291701
Tarancón,40.0085,-3.0073,57.67,68,77,3.38,ES,1633291703
Clearlake,38.9582,-122.6264,90.1,20,5,3.02,US,1633291704
Yulara,-25.2406,130.9889,53.44,37,0,6.91,AU,1633291705
Samarai,-10.6167,150.6667,79.74,82,50,6.26,PG,1633291707
Opuwo,-18.0607,13.84,69.49,24,0,8.05,NA,1633291708
Mandiana,10.6333,-8.6833,78.73,70,15,0.81,GN,1633291709
Grand Island,40.925,-98.342,79.75,29,1,1.99,US,1633291467
Waipawa,-41.4122,175.5153,52.03,95,100,3.87,NZ,1633291452
Lam Luk Ka,13.9323,100.7494,81.93,98,20,2.3,TH,1633291713
Ouango,4.3133,22.5552,75.02,80,100,2.93,CF,1633291714
Juneau,58.3019,-134.4197,42.22,96,90,5.75,US,1633291649
Surskoye,54.4821,46.7214,45.37,92,100,3.62,RU,1633291716
Vilhena,-12.7406,-60.1458,90.19,36,75,5.88,BR,1633291718
Noumea,-22.2763,166.4572,78.01,99,2,3.15,NC,1633291719
Hasaki,35.7333,140.8333,66.6,81,0,7.87,JP,1633291720
Santa Cruz de la Sierra,-17.8,-63.1667,94.57,35,61,10.38,BO,1633291721
Cherskiy,68.75,161.3,15.85,98,93,3.09,RU,1633291723
Tanete,-3.9443,119.7848,72.5,94,100,2.91,ID,1633291724
Hervey Bay,-25.2986,152.8535,74.03,94,10,15.59,AU,1633291725
Caravelas,-17.7125,-39.2481,77.83,77,6,13.42,BR,1633291727
Beringovskiy,63.05,179.3167,38.68,98,100,5.53,RU,1633291728
Dzilam González,21.2833,-88.9333,85.05,65,71,9.71,MX,1633291729
Dubbo,-32.25,148.6167,53.73,87,40,13.8,AU,1633291525
Mahébourg,-20.4081,57.7,73.26,80,19,16.31,MU,1633291732
Auki,-8.7676,160.7034,77.61,87,19,3.6,SB,1633291733
Taoudenni,22.6783,-3.9836,98.24,8,88,10.58,ML,1633291734
Airai,-8.9266,125.4092,59.09,67,13,1.07,TL,1633291735
Nizhnevartovsk,60.9344,76.5531,32.02,93,75,8.95,RU,1633291737
Dunmore Town,25.5,-76.65,81.27,68,4,12.55,BS,1633291738
Mehamn,71.0357,27.8492,53.51,66,0,16.11,NO,1633291739
Arawa,-6.2132,155.5367,76.98,89,100,2.91,PG,1633291741
Vero Beach,27.6386,-80.3973,88.03,52,1,3.0,US,1633291742
Anloga,5.7947,0.8973,80.2,84,17,11.77,GH,1633291743
Boende,-0.2167,20.8667,70.88,99,90,4.94,CD,1633291746
Mapiripán,2.8892,-72.1256,85.1,70,97,6.33,CO,1633291747
Verkhnedneprovskiy,54.9813,33.3457,42.71,84,100,5.01,RU,1633291748
Talara,-4.5772,-81.2719,74.16,60,0,21.85,PE,1633291749
Warrington,53.3925,-2.5802,53.82,85,20,4.0,GB,1633291732
Saint Anthony,45.0205,-93.218,73.74,62,1,1.01,US,1633291752
Vestmannaeyjar,63.4427,-20.2734,46.85,82,76,3.74,IS,1633291754
Ust-Maya,60.4167,134.5333,30.22,88,100,5.66,RU,1633291755
Coahuayana Viejo,18.7333,-103.6833,89.08,57,99,6.78,MX,1633291757
Karema,-6.8205,30.4389,79.05,70,95,3.78,TZ,1633291758
Safford,32.834,-109.7076,85.12,28,1,8.05,US,1633291761
Esim,4.8699,-2.2405,77.72,89,99,7.16,GH,1633291762
Gweta,-20.1833,25.2333,79.68,12,0,9.8,BW,1633291763
Cayenne,4.9333,-52.3333,87.84,71,18,5.01,GF,1633291764
General Roca,-39.0333,-67.5833,67.3,18,0,16.89,AR,1633291766
Shulan,44.4167,126.95,40.78,96,27,4.7,CN,1633291767
Santiago de Chuco,-8.15,-78.1833,59.38,64,97,2.66,PE,1633291769
Doba,8.65,16.85,74.86,87,42,3.38,TD,1633291770
Road Town,18.4167,-64.6167,87.89,66,40,11.5,VG,1633291771
Avera,33.194,-82.5271,86.68,41,90,4.56,US,1633291773
Beatrice,40.2681,-96.747,81.86,25,1,6.91,US,1633291774
Kamenka,51.3223,42.7678,43.83,72,1,6.38,RU,1633291775
Babu,24.4167,111.5167,75.65,90,8,2.91,CN,1633291778
Norman Wells,65.282,-126.8329,34.92,97,100,17.96,CA,1633291779
Guánica,17.9716,-66.908,89.26,71,95,7.0,PR,1633291780
Nome,64.5011,-165.4064,30.27,75,1,3.44,US,1633291782
Kautokeino,69.0125,23.0412,44.53,85,100,22.41,NO,1633291783
Nuuk,64.1835,-51.7216,47.01,49,40,17.27,GL,1633291784
Monrovia,6.3005,-10.7969,78.57,86,82,4.52,LR,1633291785
College,64.8569,-147.8028,35.58,95,75,4.61,US,1633291755
Calama,-22.4667,-68.9333,73.89,3,0,24.16,CL,1633291788
Hambantota,6.1241,81.1185,79.56,83,88,12.5,LK,1633291789
Gijón,43.5357,-5.6615,59.85,74,0,5.01,ES,1633291790
Mamontovo,52.7055,81.6244,37.74,68,100,6.08,RU,1633291792
Mareeba,-17.0,145.4333,69.46,95,19,2.42,AU,1633291793
Muros,42.7762,-9.0603,59.23,90,56,4.61,ES,1633291794
Mae Sai,20.4335,99.8762,75.43,99,100,1.61,TH,1633291795
Harwich,51.9419,1.2844,55.35,83,0,8.01,GB,1633291797
North Augusta,33.5018,-81.9651,87.12,51,75,5.75,US,1633291798
Marfino,55.7028,37.3822,42.1,91,100,0.0,RU,1633291799
Rivne,50.6231,26.2274,49.84,62,7,10.13,UA,1633291801
Strelka,58.0728,93.0344,29.21,90,77,2.51,RU,1633291817
Marystown,47.1666,-55.1483,57.85,100,20,8.1,CA,1633291818
Basco,20.4487,121.9702,84.13,76,97,23.44,PH,1633291820
Faya,18.3851,42.4509,63.12,41,94,0.87,SA,1633291821
Lamar,33.6668,-95.5836,84.97,49,40,10.36,US,1633291822
Kitob,39.0843,66.8332,52.99,30,1,2.55,UZ,1633291824
